1,"SELECT id, `key`, `value`, description, pid 	, `type`, `option`, `reboot` FROM system_config","1,2,4,5,6,7,8,9,35,47,54,63,64,65,66,75,76,138,141,150,153,163,164,165,166,167,168,169,207,215,216,217,247,250,259,262,287,288,336,337,377,378,407,411,419,448,452,481,484,491,492,493,494,495,496,497,498,499,507,508,516,532,533,534,535,542,543,552,555,556,557,558,577,613,620,621,622,630,641,642,651,654,663,666,667,670,679,682,691,694,695,709,712,713,714,715,716,717,757,783,784,785,793,803,839,856,857,858"
2,"SELECT u.`id`, u.`username`, u.`password`, u.`in_time`, u.`role_id` 	, r.name AS roleName FROM admin_user u 	LEFT JOIN role r ON u.role_id = r.id","3"
3,"SELECT id, username, password, in_time, role_id FROM admin_user WHERE username = %s","10,14,67,71,77,81,130,134,142,146,154,158,182,186,239,243,251,255,289,293,338,342,544,548,583,587,643,647,655,659,671,675,683,687,731,735,758,762,825,829,840,844"
4,"SELECT id, name FROM role WHERE id = %s","11,15,68,72,78,82,131,135,143,147,155,159,183,187,240,244,252,256,290,294,339,343,545,549,584,588,644,648,656,660,672,676,684,688,732,736,739,759,763,766,826,830,841,845"
5,"SELECT role_id, permission_id FROM role_permission WHERE role_id = %s","12,16,69,73,79,83,132,136,144,148,156,160,184,188,241,245,253,257,291,295,340,344,546,550,585,589,645,649,657,661,673,677,685,689,733,737,740,760,764,827,831,842,846"
6,"SELECT id, name, value, pid FROM permission WHERE id IN (%s)","13,17,70,74,80,84,133,137,145,149,157,161,185,189,242,246,254,258,292,296,341,345,547,551,586,590,646,650,658,662,674,678,686,690,734,738,741,761,765,828,832,843,847"
7,"SELECT id, `key`, `value`, description, pid 	, `type`, `option`, `reboot` FROM system_config WHERE `key` = %s","18,19,20,21,22,24,25,26,27,28,29,30,31,37,38,39,40,41,42,43,44,55,56,57,58,59,170,171,172,173,174,176,177,178,179,180,191,192,193,194,195,198,199,200,201,202,203,204,205,210,211,212,213,214,218,219,220,221,222,224,225,226,227,228,231,232,233,234,235,236,237,238,263,264,265,266,267,270,271,272,273,274,278,279,280,281,282,284,285,286,297,298,299,300,301,304,305,306,307,308,309,310,311,312,313,314,315,316,319,320,321,322,323,327,328,329,330,331,333,334,335,346,347,348,349,350,353,354,355,356,357,360,361,362,363,364,368,369,370,371,372,374,375,376,379,380,381,382,383,385,386,387,388,389,391,392,393,394,395,399,400,401,402,403,404,405,406,412,413,414,415,416,420,421,422,423,424,426,427,428,429,430,432,433,434,435,436,440,441,442,443,444,445,446,447,453,454,455,456,457,459,460,461,462,463,465,466,467,468,469,473,474,475,476,477,478,479,480,485,486,487,488,489,500,501,502,503,504,509,510,511,512,513,519,520,521,522,523,525,526,527,528,529,536,537,538,539,540,559,560,561,562,563,565,566,567,568,569,571,572,573,574,575,579,580,581,591,592,593,594,595,598,599,600,601,602,603,604,605,606,607,608,609,610,612,614,615,616,617,618,623,624,625,626,627,633,634,635,636,637,696,697,698,699,700,702,703,704,705,706,721,722,723,724,725,726,727,728,786,787,788,789,790,796,797,798,799,800,806,807,808,809,810,813,814,815,816,817,819,820,821,822,823,833,834,835,836,837,849,850,851,852,853,859,860,861,862,863,865,866,867,868,869"
8,"SELECT id, title, content, in_time, modify_time 	, user_id, comment_count, collect_count, view, top 	, good, up_ids FROM topic WHERE id = %s","23,181,196,229,268,302,317,358,396,437,470,505,570,596,611,824"
9,"SELECT id, username, telegram_name, avatar, password 	, email, mobile, website, bio, score 	, in_time, token, email_notification, active FROM user WHERE token = %s","32,45,175,223,384,390,431,464,514,524,564,576,628,708,729,791,801,811,818,854,864"
10,"SELECT id, title, content, in_time, modify_time 	, user_id, comment_count, collect_count, view, top 	, good, up_ids FROM topic WHERE title = %s","33"
11,"INSERT INTO topic (title, content, in_time, user_id, comment_count 	, collect_count, view, top, good) VALUES (%s, %s, %s, %s, %s 	, %s, %s, %s, %s)","34"
12,"UPDATE user SET username = %s, telegram_name = %s, password = %s, email = %s, website = %s, bio = %s, score = %s, in_time = %s, token = %s, email_notification = %s, active = %s WHERE id = %s","36,208,352,408,449,482,531,582,632,805,871"
13,"SELECT id, topic_id, user_id, content, in_time 	, comment_id, up_ids FROM comment WHERE id = %s","46,190,409,450,515,629,730,792,802"
14,"UPDATE comment SET topic_id = %s, user_id = %s, content = %s, in_time = %s, up_ids = %s WHERE id = %s","48"
15,"UPDATE user SET username = %s, password = %s, email = %s, score = %s, in_time = %s, token = %s, email_notification = %s, active = %s WHERE id = %s","49,518,795"
16,"SELECT COUNT(1) FROM topic t WHERE to_days(t.in_time) = to_days(now())","50"
17,"SELECT COUNT(1) FROM tag WHERE to_days(in_time) = to_days(now())","51"
18,"SELECT COUNT(1) FROM comment WHERE to_days(in_time) = to_days(now())","52"
19,"SELECT COUNT(1) FROM user WHERE to_days(in_time) = to_days(now())","53"
20,"SELECT id, username, telegram_name, avatar, password 	, email, mobile, website, bio, score 	, in_time, token, email_notification, active FROM user WHERE username = %s","60,152,619,638,701"
21,"SELECT id, oauth_id, `type`, login, access_token 	, in_time, bio, email, user_id, refresh_token 	, union_id, expires_in FROM oauth_user WHERE user_id = %s","61,639"
22,"SELECT COUNT(1) FROM collect WHERE user_id = %s","62,640"
23,"UPDATE system_config SET `key` = %s, `value` = %s WHERE `key` = %s","85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129"
24,"SELECT COUNT(1) FROM user","139"
25,"SELECT id, username, telegram_name, avatar, password 	, email, mobile, website, bio, score 	, in_time, token, email_notification, active FROM user ORDER BY in_time DESC LIMIT %s, 20","140"
26,"SELECT COUNT(1) FROM user WHERE username = %s","151"
27,"SELECT id, name FROM role","162"
28,"UPDATE topic SET title = %s, content = %s, in_time = %s, modify_time = %s, user_id = %s, comment_count = %s, collect_count = %s, view = %s, top = %s, good = %s WHERE id = %s","197,230,303,373,398,439"
29,"SELECT id, username, telegram_name, avatar, password 	, email, mobile, website, bio, score 	, in_time, token, email_notification, active FROM user WHERE id = %s","206,275,324,351,365,417,425,458,490,530,541,711,838,870"
30,"DELETE FROM comment WHERE id = %s","209"
31,"SELECT COUNT(1) FROM topic t 	LEFT JOIN user u ON t.user_id = u.id","248"
32,"SELECT t.`id`, t.`title`, t.`content`, t.`in_time`, t.`modify_time` 	, t.`user_id`, t.`comment_count`, t.`collect_count`, t.`view`, t.`top` 	, t.`good`, t.`up_ids`, u.username FROM topic t 	LEFT JOIN user u ON t.user_id = u.id ORDER BY t.in_time DESC LIMIT %s, 20","249"
33,"SELECT COUNT(1) FROM topic t 	LEFT JOIN user u ON t.user_id = u.id WHERE t.in_time BETWEEN %s AND %s","260"
34,"SELECT t.`id`, t.`title`, t.`content`, t.`in_time`, t.`modify_time` 	, t.`user_id`, t.`comment_count`, t.`collect_count`, t.`view`, t.`top` 	, t.`good`, t.`up_ids`, u.username FROM topic t 	LEFT JOIN user u ON t.user_id = u.id WHERE t.in_time BETWEEN %s AND %s ORDER BY t.in_time DESC LIMIT %s, 20","261"
35,"SELECT tag_id, topic_id FROM topic_tag WHERE topic_id = %s","269,318,359,506"
36,"SELECT topic_id, user_id, in_time FROM collect WHERE topic_id = %s","276,325,366"
37,"SELECT topic_id, user_id, in_time FROM collect WHERE topic_id = %s 	AND user_id = %s","277,326,367"
38,"UPDATE topic SET title = %s, content = %s, in_time = %s, user_id = %s, comment_count = %s, collect_count = %s, view = %s, top = %s, good = %s WHERE id = %s","283,332,472,597"
39,"INSERT INTO comment (topic_id, user_id, content, in_time, comment_id) VALUES (%s, %s, %s, %s, %s)","397,438"
40,"INSERT INTO notification (topic_id, user_id, target_user_id, action, in_time 	, content, `read`) VALUES (%s, %s, %s, %s, %s 	, %s, %s)","410,418,451,483"
41,"INSERT INTO comment (topic_id, user_id, content, in_time) VALUES (%s, %s, %s, %s)","471"
42,"UPDATE comment SET topic_id = %s, user_id = %s, content = %s, in_time = %s, comment_id = %s, up_ids = %s WHERE id = %s","517,631,794,804"
43,"SELECT COUNT(1) FROM tag","553"
44,"SELECT id, name, description, icon, topic_count 	, in_time FROM tag ORDER BY topic_count DESC","554"
45,"UPDATE topic SET title = %s, content = %s, in_time = %s, user_id = %s, comment_count = %s, collect_count = %s, view = %s, top = %s, good = %s, up_ids = %s WHERE id = %s","578"
46,"SELECT COUNT(1) FROM sensitive_word","652"
47,"SELECT id, word FROM sensitive_word","653"
48,"SELECT COUNT(1) FROM sensitive_word WHERE word = %s","664"
49,"SELECT id, word FROM sensitive_word WHERE word = %s","665"
50,"SELECT id, name, value, pid FROM permission WHERE pid = %s","668,669,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756"
51,"SELECT COUNT(1) FROM comment c 	LEFT JOIN topic t ON c.topic_id = t.id 	LEFT JOIN user u ON u.id = c.user_id","680"
52,"SELECT c.`id`, c.`content`, c.`topic_id`, c.`user_id`, c.`in_time` 	, c.`comment_id`, c.`up_ids`, t.title, t.id AS topicId, u.username FROM comment c 	LEFT JOIN topic t ON c.topic_id = t.id 	LEFT JOIN user u ON u.id = c.user_id ORDER BY c.in_time DESC LIMIT %s, 20","681"
53,"SELECT COUNT(1) FROM comment c 	LEFT JOIN topic t ON c.topic_id = t.id 	LEFT JOIN user u ON u.id = c.user_id WHERE c.in_time BETWEEN %s AND %s","692"
54,"SELECT c.`id`, c.`content`, c.`topic_id`, c.`user_id`, c.`in_time` 	, c.`comment_id`, c.`up_ids`, t.title, t.id AS topicId, u.username FROM comment c 	LEFT JOIN topic t ON c.topic_id = t.id 	LEFT JOIN user u ON u.id = c.user_id WHERE c.in_time BETWEEN %s AND %s ORDER BY c.in_time DESC LIMIT %s, 20","693"
55,"SELECT id, username, telegram_name, avatar, password 	, email, mobile, website, bio, score 	, in_time, token, email_notification, active FROM user WHERE email = %s","707"
56,"INSERT INTO user (username, password, email, in_time, token 	, active) VALUES (%s, %s, %s, %s, %s 	, %s)","710"
57,"SELECT id, user_id, code, in_time, expire_time 	, email, mobile, used FROM code WHERE email = %s 	AND user_id = %s 	AND used = %s 	AND expire_time > %s","718"
58,"SELECT id, user_id, code, in_time, expire_time 	, email, mobile, used FROM code WHERE code = %s","719"
59,"INSERT INTO code (user_id, code, in_time, expire_time, email) VALUES (%s, %s, %s, %s, %s)","720"
60,"UPDATE role SET name = %s WHERE id = %s","767"
61,"DELETE FROM role_permission WHERE role_id = %s","768"
62,"INSERT INTO role_permission (role_id, permission_id) VALUES (%s, %s)","769,770,771,772,773,774,775,776,777,778,779,780,781,782"
63,"UPDATE notification SET `read` = %s WHERE target_user_id = %s","812"
64,"UPDATE user SET username = %s, telegram_name = %s, email = %s, website = %s, bio = %s, score = %s, token = %s, email_notification = %s WHERE id = %s","848"
65,"SELECT COUNT(1) FROM notification WHERE target_user_id = %s 	AND `read` = %s","855"
